RTN_prob,CNN_prob,label
0.98,1.0,0
0.9,1.0,0
0.98,0.99996257,0
1.0,0.9999964,0
0.86,0.9996908,0
0.98,0.99989986,0
0.9,1.0,0
0.98,0.9997496,0
0.99,0.99996877,0
0.99,0.9999262,0
0.98,0.99998665,0
0.85,1.0,0
0.98,0.99999833,0
0.86,0.9372146,0
0.99,0.99997723,0
1.0,0.9992473,0
0.97,0.999995,0
1.0,0.9999093,0
1.0,1.0,0
0.88,1.0,0
1.0,0.99999774,0
0.99,1.0,0
1.0,0.9999999,0
1.0,1.0,0
0.98,0.99947196,0
0.83,1.0,0
1.0,0.9993788,0
0.99,0.99990404,0
1.0,0.99886835,0
0.89,0.9999782,0
1.0,0.99999917,0
0.89,1.0,0
0.76,0.99999607,0
1.0,1.0,0
1.0,0.999985,0
1.0,1.0,0
1.0,0.99999976,0
0.83,1.0,0
0.91,0.99999666,0
0.99,0.9999999,0
0.93,0.99846715,0
0.99,0.9999975,0
1.0,1.0,0
0.89,1.0,0
0.65,0.9999964,0
0.98,1.0,0
1.0,0.9999999,0
0.99,0.99999785,0
0.99,0.99999857,0
0.86,1.0,0
0.96,0.99999166,0
0.99,0.9999999,0
0.91,0.89282864,0
0.99,0.99999213,0
0.96,1.0,0
0.93,1.0,0
0.99,1.0,0
0.76,0.9999968,0
0.99,1.0,0
0.98,1.0,0
0.99,1.0,0
0.87,1.0,0
0.97,0.9999999,0
0.98,1.0,0
1.0,0.999987,0
0.99,1.0,0
0.96,1.0,0
0.93,1.0,0
0.89,1.0,0
0.68,0.999226,0
1.0,1.0,0
1.0,0.9999999,0
1.0,1.0,0
0.92,1.0,0
0.79,0.9999924,0
1.0,0.99999976,0
0.98,0.9999976,0
0.9,0.9999999,0
0.91,0.9999999,0
0.99,1.0,0
0.84,0.99999166,0
0.99,0.99985707,0
0.98,0.9999989,0
1.0,0.9999964,0
0.99,1.0,0
0.88,0.9999857,0
0.96,0.999992,0
1.0,0.9999981,0
0.99,0.99999166,0
0.98,1.0,0
0.93,1.0,0
0.99,1.0,0
0.88,0.9999956,0
0.99,0.99999964,0
0.89,0.9999994,0
0.87,0.9999999,0
0.99,1.0,0
0.84,0.99997616,0
1.0,1.0,0
0.99,0.9999944,0
1.0,1.0,0
0.9,0.9986337,0
0.88,1.0,0
0.93,0.99986136,0
0.86,0.9999857,0
0.98,0.9976324,0
0.9,0.99999535,0
0.97,0.99545825,0
1.0,1.0,0
0.84,0.9999726,0
0.84,0.9982346,0
0.99,0.9999974,0
1.0,1.0,0
0.87,0.9999995,0
0.99,0.99996257,0
0.99,1.0,0
0.99,1.0,0
0.84,0.9999815,0
1.0,0.9999989,0
0.98,0.99999917,0
0.89,1.0,0
0.99,0.9999993,0
0.86,0.9999933,0
0.89,1.0,0
0.99,0.9869528,0
0.99,0.99999917,0
0.99,0.9999926,0
1.0,0.9999958,0
0.99,0.9999875,0
0.84,0.9999956,0
0.99,1.0,0
0.99,0.9999994,0
0.99,0.9999999,0
0.99,0.99999666,0
0.85,1.0,0
0.84,0.99999726,0
1.0,0.99999917,0
0.98,0.9999995,0
0.9,0.99968827,0
1.0,0.99999857,0
0.94,0.9999988,0
0.99,1.0,0
1.0,0.99974424,0
0.55,1.0,0
1.0,1.0,0
0.99,1.0,0
0.99,1.0,0
1.0,1.0,0
0.89,1.0,0
0.83,1.0,0
0.9,1.0,0
1.0,0.9996178,0
0.87,1.0,0
0.91,1.0,0
0.89,1.0,0
0.97,0.9999957,0
0.98,0.99918836,0
0.46,0.9999876,0
0.82,1.0,0
0.82,1.0,0
1.0,1.0,0
0.91,1.0,0
1.0,1.0,0
0.93,0.9988158,0
1.0,1.0,0
0.88,1.0,0
0.34,0.99999976,0
0.98,1.0,0
0.98,1.0,0
1.0,0.9999937,0
0.78,1.0,0
0.91,0.9999938,0
0.96,0.9999907,0
0.85,0.99998426,0
0.86,0.99918467,0
1.0,0.99996984,0
0.83,0.9984131,0
0.73,0.8974933,0
0.99,1.0,0
0.83,0.99999654,0
0.98,1.0,0
0.67,0.94027215,0
0.86,0.99945766,0
0.97,0.9991486,0
0.96,0.9999964,0
0.81,0.9999962,0
1.0,0.99999905,0
1.0,0.99999523,0
1.0,0.9583273,0
0.93,1.0,0
1.0,0.9999777,0
0.97,0.99987197,0
1.0,0.99999595,0
0.99,1.0,0
1.0,0.9993019,0
1.0,0.9999981,0
0.97,0.9996995,0
1.0,0.96741474,0
1.0,0.98670954,0
0.87,0.99999976,0
1.0,1.0,0
0.98,0.9999963,0
1.0,0.99974495,0
0.95,1.0,0
1.0,0.99787855,0
0.91,0.99999917,0
1.0,0.9996903,0
1.0,0.985578,0
0.99,0.9999999,0
1.0,1.0,0
0.93,1.0,0
0.99,1.0,0
1.0,1.0,0
0.85,1.0,0
1.0,1.0,0
0.99,1.0,0
0.94,1.0,0
0.97,1.0,0
0.87,1.0,0
0.96,0.999997,0
0.95,1.0,0
0.87,1.0,0
0.77,0.99998,0
0.99,0.9999999,0
1.0,0.9999999,0
0.92,0.9991216,0
0.99,1.0,0
0.98,0.99999845,0
0.99,1.0,0
0.99,1.0,0
1.0,1.0,0
0.98,0.9999989,0
0.86,1.0,0
0.8,0.99952936,0
0.99,1.0,0
0.94,1.0,0
0.87,1.0,0
0.88,0.96873796,0
0.98,1.0,0
0.87,1.0,0
0.98,0.9999999,0
0.87,1.0,0
1.0,1.0,0
0.85,1.0,0
0.96,0.9999999,0
0.99,1.0,0
0.92,1.0,0
0.98,1.0,0
0.93,1.0,0
0.99,0.99999034,0
0.9,1.0,0
1.0,1.0,0
0.97,1.0,0
0.94,1.0,0
0.97,1.0,0
0.87,1.0,0
1.0,1.0,0
0.97,1.0,0
0.91,1.0,0
0.97,1.0,0
0.96,0.9999994,0
0.99,0.9999906,0
1.0,0.99999917,0
0.99,0.9999963,0
0.93,1.0,0
0.89,1.0,0
0.91,1.0,0
0.99,1.0,0
0.89,1.0,0
0.9,1.0,0
0.87,1.0,0
0.87,1.0,0
0.81,1.0,0
0.88,1.0,0
0.99,0.9996674,0
0.99,0.99991167,0
0.47,1.0,0
0.87,1.0,0
1.0,0.9997714,0
0.98,1.0,0
0.91,1.0,0
0.53,0.99999225,0
0.87,1.0,0
0.88,1.0,0
0.87,1.0,0
0.71,1.0,0
0.95,0.9990146,0
0.92,1.0,0
0.99,0.99997854,0
1.0,1.0,0
1.0,0.99999,0
1.0,0.9999932,0
1.0,1.0,0
0.94,0.99903345,0
0.99,0.9999927,0
1.0,0.9999821,0
0.99,0.9999875,0
1.0,1.0,0
0.86,0.99554896,0
1.0,0.97300714,0
0.97,1.0,0
0.86,0.98462427,0
0.87,0.9998005,0
0.9,0.9988457,0
0.88,0.9992378,0
0.98,0.98380405,0
0.77,0.98062974,0
0.88,0.99979347,0
0.99,1.0,0
0.83,0.99998593,0
0.87,0.9703597,0
0.94,1.0,0
1.0,0.9801477,0
0.53,0.9974009,0
0.87,0.99988806,0
0.79,0.999881,0
0.95,0.9976841,0
0.95,0.9773242,0
0.91,0.99947065,0
0.91,0.9999527,0
1.0,0.99868864,0
0.98,0.99997294,0
0.93,1.0,0
0.88,0.85223097,0
0.98,0.9637485,0
0.88,0.89196223,0
0.94,0.9998431,0
0.88,0.9998288,0
0.99,0.9999999,0
0.99,0.95043826,0
0.8,0.9993098,0
0.99,0.9996425,0
1.0,0.9999523,0
1.0,1.0,0
0.97,1.0,0
0.8,0.9672558,0
0.91,0.9998448,0
0.99,0.92877454,0
0.74,0.9985246,0
0.94,0.99979943,0
0.88,0.99994934,0
0.88,1.0,0
0.99,0.98897797,0
0.84,0.9714794,0
0.85,0.9998385,0
1.0,1.0,0
1.0,0.9999949,0
0.88,0.9999262,0
0.9,0.9910788,0
0.99,0.9845931,0
0.8,0.7340358,0
0.86,0.9997924,0
0.85,0.9999261,0
0.85,0.9390707,0
0.99,0.98402935,0
0.78,0.6145424,0
0.99,1.0,0
0.86,0.99975115,0
0.87,0.99963963,0
1.0,1.0,0
1.0,1.0,0
0.97,0.9999486,0
1.0,0.99999976,0
1.0,1.0,0
1.0,0.9999999,0
0.95,0.99976903,0
0.88,0.9595361,0
0.99,1.0,0
0.99,1.0,0
0.93,0.9999361,0
0.91,1.0,0
1.0,0.9999999,0
0.99,1.0,0
1.0,1.0,0
0.98,0.9999988,0
1.0,0.9999999,0
0.97,0.99999845,0
0.86,0.9999999,0
0.98,0.9995394,0
0.96,0.98210806,0
0.98,0.9897321,0
0.99,0.9744007,0
1.0,1.0,0
1.0,0.99972206,0
1.0,0.9998995,0
1.0,0.99870944,0
1.0,0.9994981,0
0.97,0.9989818,0
0.99,0.9997712,0
0.99,1.0,0
0.86,0.998075,0
0.91,0.9991898,0
0.83,0.99954695,0
0.9,0.9994198,0
1.0,1.0,0
0.69,0.991355,0
0.87,0.9991536,0
1.0,0.9896752,0
0.98,0.9765597,0
1.0,0.99952185,0
0.99,0.999995,0
1.0,0.99996173,0
1.0,0.99999714,0
1.0,0.9999969,0
1.0,0.9998894,0
1.0,0.9999211,0
0.99,1.0,0
1.0,0.9999988,0
1.0,1.0,0
0.98,0.99999976,0
1.0,1.0,0
0.99,1.0,0
0.99,1.0,0
1.0,0.9999908,0
0.95,1.0,0
0.92,1.0,0
0.92,0.99959356,0
0.97,1.0,0
0.99,1.0,0
0.99,1.0,0
0.89,1.0,0
1.0,1.0,0
0.99,1.0,0
0.99,0.9999981,0
1.0,1.0,0
0.99,0.9999912,0
0.99,0.999984,0
0.89,1.0,0
0.95,0.9983675,0
0.97,0.99998283,0
0.96,0.9978332,0
0.99,1.0,0
0.99,1.0,0
0.93,0.92655015,0
0.98,0.9998629,0
1.0,0.9954144,0
0.83,0.99738926,0
0.99,1.0,0
0.99,0.99999976,0
0.85,1.0,0
0.98,0.9990336,0
0.99,0.9999423,0
0.98,0.99998534,0
0.99,0.9999949,0
0.98,1.0,0
0.98,0.99993706,0
0.98,0.9999144,0
0.95,0.9988102,0
0.95,1.0,0
0.99,0.9984397,0
1.0,0.99884146,0
0.92,1.0,0
0.96,0.9948761,0
0.99,0.9997223,0
0.99,0.9951782,0
0.99,0.9999466,0
0.92,1.0,0
0.96,0.9959174,0
0.98,0.9999217,0
1.0,1.0,0
0.96,0.752248,0
0.99,0.9998807,0
0.99,1.0,0
0.98,1.0,0
0.98,0.9997124,0
0.98,0.9999274,0
0.97,0.996152,0
0.99,0.99985254,0
0.98,1.0,0
0.9,0.99872345,0
0.01,2.1461187e-14,1
0.02,4.2313545e-11,1
0.06,3.0386452e-08,1
0.02,1.3010606e-15,1
0.09,1.6717073e-06,1
0.05,1.6930219e-06,1
0.33,1.863386e-05,1
0.06,2.3396751e-06,1
0.04,3.4571148e-08,1
0.08,5.335234e-06,1
0.06,4.454927e-08,1
0.34,1.7221764e-07,1
0.07,1.5721936e-13,1
0.04,0.00027041134,1
0.05,3.8930876e-09,1
0.03,7.973226e-09,1
0.0,3.5078813e-08,1
0.07,8.9657115e-06,1
0.16,2.7282496e-07,1
0.28,4.697849e-06,1
0.26,0.0005907822,1
0.21,1.9681285e-07,1
0.76,7.345617e-05,1
0.0,8.7370716e-24,1
0.07,1.4570461e-08,1
0.06,2.099403e-06,1
0.0,9.819028e-07,1
0.05,4.9731206e-08,1
