TIME,leftTop x,leftTop y,rightBottom x,rightBottom y,area,areaRatio
0,225,120,408,343,40809,1
1,220,123,404,344,40664,0.996446862
2,221,122,405,344,40848,1.000955672
3,222,121,405,344,40809,1
4,221,122,405,344,40848,1.000955672
5,221,120,405,343,41032,1.005464481
6,221,121,405,345,41216,1.00997329
7,221,121,406,346,41625,1.019995589
8,222,122,407,346,41440,1.015462275
9,221,121,406,346,41625,1.019995589
10,220,121,406,345,41664,1.020951261
11,221,121,405,346,41400,1.0144821
12,220,122,405,345,41255,1.010928962
13,221,123,404,346,40809,1
14,223,125,404,350,40725,0.997941631
15,221,121,406,350,42365,1.038128844
16,221,122,406,350,42180,1.03359553
17,221,123,406,348,41625,1.019995589
18,222,123,407,347,41440,1.015462275
19,221,121,406,347,41810,1.024528903
20,221,122,406,346,41440,1.015462275
21,223,123,407,347,41216,1.00997329
22,222,121,407,346,41625,1.019995589
23,223,122,407,347,41400,1.0144821
24,222,119,407,348,42365,1.038128844
25,222,120,408,348,42408,1.039182533
26,223,123,408,348,41625,1.019995589
27,222,122,407,349,41995,1.029062217
28,222,122,408,348,42036,1.030066897
29,222,121,407,348,41995,1.029062217
30,222,122,407,348,41810,1.024528903
31,222,121,408,349,42408,1.039182533
32,222,121,408,349,42408,1.039182533
33,222,120,406,348,41952,1.028008528
34,222,122,407,348,41810,1.024528903
35,222,122,407,348,41810,1.024528903
36,222,120,407,348,42180,1.03359553
37,221,120,407,348,42408,1.039182533
38,222,122,408,349,42222,1.034624715
39,222,120,407,349,42365,1.038128844
40,223,120,407,350,42320,1.037026146
41,222,122,408,347,41850,1.025509079
42,222,121,405,348,41541,1.01793722
43,221,120,403,349,41678,1.021294322
44,220,121,404,350,42136,1.032517337
45,220,122,406,348,42036,1.030066897
46,219,121,405,348,42222,1.034624715
47,220,120,405,349,42365,1.038128844
48,220,122,405,349,41995,1.029062217
49,221,122,406,349,41995,1.029062217
50,222,120,406,348,41952,1.028008528
51,221,120,407,348,42408,1.039182533
52,220,122,406,348,42036,1.030066897
53,221,123,407,349,42036,1.030066897
54,221,120,407,349,42594,1.043740351
55,221,121,407,348,42222,1.034624715
56,220,119,407,347,42636,1.044769536
