TIME,leftTop x,leftTop y,rightBottom x,rightBottom y,area,areaRatio
0,232,122,391,318,31164,1
1,235,128,398,325,32111,1.030387627
2,237,128,399,326,32076,1.029264536
3,233,127,397,326,32636,1.047233988
4,233,127,398,327,33000,1.058914132
5,234,127,397,327,32600,1.046078809
6,236,128,398,326,32076,1.029264536
7,237,130,399,326,31752,1.018867925
8,236,129,398,328,32238,1.034462842
9,235,128,398,327,32437,1.040848415
10,235,128,398,327,32437,1.040848415
11,236,128,398,327,32238,1.034462842
12,236,130,398,327,31914,1.02406623
13,237,129,398,327,31878,1.022911051
14,236,129,398,327,32076,1.029264536
15,234,126,398,327,32964,1.057758953
16,235,129,398,327,32274,1.035618021
17,234,127,398,327,32800,1.05249647
18,236,129,398,328,32238,1.034462842
19,234,128,397,329,32763,1.051309203
20,234,128,398,330,33128,1.063021435
21,234,128,398,330,33128,1.063021435
22,234,128,397,329,32763,1.051309203
23,235,127,399,329,33128,1.063021435
24,234,129,398,328,32636,1.047233988
25,234,127,398,329,33128,1.063021435
26,234,126,398,329,33292,1.068283917
27,235,128,398,330,32926,1.056539597
28,234,127,397,330,33089,1.061769991
29,234,129,398,329,32800,1.05249647
30,234,126,397,329,33089,1.061769991
31,234,128,398,329,32964,1.057758953
32,233,127,397,329,33128,1.063021435
33,233,126,397,329,33292,1.068283917
34,234,127,398,328,32964,1.057758953
35,234,126,397,329,33089,1.061769991
36,233,128,397,328,32800,1.05249647
37,233,126,396,329,33089,1.061769991
38,234,127,397,330,33089,1.061769991
39,234,127,397,330,33089,1.061769991
40,234,127,398,330,33292,1.068283917
41,234,127,398,330,33292,1.068283917
42,234,128,397,330,32926,1.056539597
43,234,127,397,331,33252,1.067000385
44,233,126,397,330,33456,1.0735464
45,234,128,396,331,32886,1.055256065
46,253,128,417,332,33456,1.0735464
47,250,130,414,324,31816,1.020921576
48,241,139,409,348,35112,1.126684636
49,220,73,399,291,39022,1.252149917
50,210,125,367,311,29202,0.937042742
51,233,131,377,313,26208,0.84097035
52,241,128,387,307,26134,0.838595816
53,225,130,380,303,26815,0.860447953
54,223,129,375,315,28272,0.907200616
55,233,122,377,303,26064,0.836349634
56,275,123,414,303,25020,0.802849442
57,275,130,432,311,28417,0.911853421
58,228,120,372,296,25344,0.813246053
59,169,142,335,312,28220,0.905532024
60,216,132,368,318,28272,0.907200616
61,233,126,386,311,28305,0.90825953
62,241,127,388,313,27342,0.877358491
63,245,126,390,304,25810,0.828199204
64,242,126,388,311,27010,0.866705173
65,248,126,395,308,26754,0.858490566
66,246,125,395,309,27416,0.879733025
67,249,127,395,311,26864,0.86202028
68,241,130,394,318,28764,0.922988063
69,229,130,389,328,31680,1.016557566
70,238,129,395,329,31400,1.00757284
71,240,128,396,328,31200,1.001155179
72,240,133,397,335,31714,1.017648569
73,239,135,396,337,31714,1.017648569
74,239,140,398,346,32754,1.051020408
75,238,142,398,347,32800,1.05249647
76,240,144,398,348,32232,1.034270312
77,240,147,397,349,31714,1.017648569
78,237,130,396,338,33072,1.06122449
79,235,130,396,338,33488,1.074573226
80,231,131,394,340,34067,1.093152355
81,237,130,397,338,33280,1.067898858
82,240,131,398,339,32864,1.054550122
83,246,137,403,347,32970,1.057951482
84,244,146,402,352,32548,1.044410217
85,243,147,402,354,32913,1.056122449
86,239,147,399,354,33120,1.062764729
87,239,147,399,355,33280,1.067898858
88,239,148,399,354,32960,1.057630599
89,239,148,401,355,33534,1.076049288
90,237,148,397,355,33120,1.062764729
91,237,150,398,355,33005,1.059074573
92,238,135,400,342,33534,1.076049288
93,235,130,396,339,33649,1.079739443
94,238,134,398,339,32800,1.05249647
95,237,132,397,339,33120,1.062764729
96,235,132,396,336,32844,1.053908356
97,236,131,395,335,32436,1.040816327
98,234,130,394,333,32480,1.042228212
99,235,129,394,333,32436,1.040816327
100,233,127,394,333,33166,1.064240791
101,234,128,394,333,32800,1.05249647
102,233,127,393,332,32800,1.05249647
103,233,129,392,327,31482,1.010204082
104,234,128,394,329,32160,1.031959954
105,232,125,393,333,33488,1.074573226
106,232,127,393,333,33166,1.064240791
107,233,128,393,332,32640,1.047362341
108,234,132,393,334,32118,1.030612245
109,235,140,396,344,32844,1.053908356
110,234,143,396,349,33372,1.070850982
111,232,140,395,348,33904,1.087921961
112,232,140,395,347,33741,1.082691567
113,234,142,394,350,33280,1.067898858
114,234,143,394,349,32960,1.057630599
115,233,142,395,349,33534,1.076049288
116,232,144,392,350,32960,1.057630599
117,230,147,391,351,32844,1.053908356
118,235,140,395,346,32960,1.057630599
119,238,137,396,344,32706,1.049480169
120,229,135,376,320,27195,0.872641509
121,227,130,368,302,24252,0.778205622
122,244,121,386,299,25276,0.811064048
123,243,127,385,304,25134,0.806507509
124,231,123,387,310,29172,0.936080092
125,230,120,387,310,29830,0.957194198
126,231,122,387,310,29328,0.941085868
127,231,126,386,311,28675,0.920132204
128,231,127,386,311,28520,0.915158516
129,231,127,385,310,28182,0.904312668
130,230,123,383,313,29070,0.932807085
131,229,126,381,312,28272,0.907200616
132,229,125,383,314,29106,0.933962264
133,229,125,383,314,29106,0.933962264
134,229,125,383,314,29106,0.933962264
135,229,125,383,315,29260,0.938903863
136,228,126,383,315,29295,0.940026954
137,229,125,384,316,29605,0.949974329
138,228,126,382,317,29414,0.943845463
139,228,127,382,318,29414,0.943845463
140,228,127,382,318,29414,0.943845463
141,229,127,381,315,28576,0.916955461
142,229,125,382,314,28917,0.927897574
143,229,124,383,315,29414,0.943845463
144,230,125,383,316,29223,0.937716596
145,229,126,384,318,29760,0.954948017
146,228,126,383,320,30070,0.964895392
147,228,127,383,320,29915,0.959921705
148,227,128,382,317,29295,0.940026954
149,228,126,382,318,29568,0.948787062
150,228,126,381,319,29529,0.947535618
